iter	Passed	Remaining
0	190	189925
1	217	108523
2	246	81873
3	274	68359
4	304	60628
5	333	55273
6	362	51386
7	391	48520
8	427	47076
9	458	45431
10	493	44357
11	523	43119
12	556	42280
13	590	41594
14	623	40953
15	652	40117
16	680	39374
17	710	38764
18	741	38274
19	771	37790
20	801	37347
21	829	36873
22	870	36966
23	904	36797
24	936	36504
25	964	36126
26	992	35772
27	1022	35511
28	1054	35299
29	1083	35022
30	1112	34778
31	1142	34555
32	1172	34351
33	1202	34163
34	1231	33951
35	1261	33790
36	1292	33630
37	1323	33497
38	1352	33333
39	1382	33191
40	1412	33035
41	1443	32932
42	1473	32795
43	1502	32644
44	1531	32494
45	1559	32344
46	1589	32228
47	1619	32119
48	1647	31976
49	1677	31875
50	1707	31769
51	1736	31659
52	1765	31554
53	1794	31431
54	1823	31326
55	1853	31240
56	1881	31128
57	1909	31005
58	1937	30906
59	1966	30808
60	1996	30733
61	2024	30629
62	2053	30547
63	2082	30452
64	2110	30361
65	2148	30408
66	2178	30332
67	2209	30284
68	2239	30216
69	2269	30147
70	2301	30114
71	2332	30059
72	2362	29997
73	2391	29924
74	2422	29880
75	2453	29829
76	2484	29778
77	2514	29721
78	2543	29658
79	2574	29607
80	2608	29591
81	2637	29521
82	2668	29476
83	2698	29425
84	2728	29376
85	2758	29318
86	2788	29268
87	2820	29229
88	2851	29189
89	2881	29138
90	2912	29090
91	2944	29063
92	2975	29019
93	3009	29005
94	3039	28959
95	3071	28922
96	3103	28889
97	3135	28856
98	3166	28815
99	3197	28779
100	3227	28725
101	3255	28661
102	3284	28604
103	3316	28573
104	3348	28544
105	3379	28506
106	3409	28458
107	3439	28409
108	3470	28370
109	3503	28347
110	3533	28303
111	3564	28259
112	3594	28217
113	3624	28167
114	3655	28133
115	3686	28091
116	3715	28043
117	3746	28006
118	3775	27949
119	3807	27919
120	3836	27871
121	3867	27830
122	3897	27786
123	3928	27751
124	3961	27730
125	3992	27693
126	4023	27657
127	4053	27611
128	4083	27569
129	4112	27524
130	4142	27481
131	4173	27442
132	4204	27405
133	4233	27362
134	4264	27327
135	4295	27290
136	4326	27251
137	4357	27217
138	4386	27172
139	4416	27129
140	4446	27087
141	4476	27046
142	4505	27003
143	4535	26962
144	4564	26915
145	4594	26873
146	4625	26842
147	4653	26787
148	4681	26739
149	4711	26700
150	4742	26663
151	4773	26630
152	4807	26611
153	4837	26577
154	4867	26536
155	4897	26494
156	4926	26453
157	4956	26413
158	4985	26368
159	5016	26337
160	5050	26318
161	5080	26280
162	5109	26239
163	5140	26205
164	5170	26164
165	5199	26120
166	5230	26088
167	5260	26051
168	5289	26011
169	5319	25971
170	5349	25931
171	5378	25891
172	5408	25855
173	5441	25832
174	5472	25799
175	5505	25774
176	5543	25776
177	5577	25756
178	5610	25734
179	5640	25695
180	5671	25661
181	5703	25634
182	5740	25628
183	5780	25635
184	5813	25609
185	5850	25603
186	5879	25562
187	5910	25529
188	5940	25491
189	5970	25452
190	5997	25405
191	6027	25366
192	6058	25331
193	6087	25292
194	6114	25242
195	6144	25204
196	6173	25165
197	6203	25126
198	6233	25089
199	6263	25052
200	6291	25008
201	6320	24970
202	6351	24936
203	6379	24894
204	6409	24855
205	6439	24818
206	6469	24783
207	6500	24750
208	6530	24716
209	6561	24682
210	6591	24648
211	6622	24615
212	6653	24585
213	6683	24548
214	6713	24512
215	6742	24473
216	6776	24451
217	6806	24417
218	6837	24382
219	6866	24343
220	6895	24305
221	6924	24268
222	6953	24229
223	6982	24190
224	7011	24149
225	7039	24107
226	7068	24070
227	7098	24035
228	7126	23992
229	7155	23955
230	7185	23920
231	7214	23883
232	7242	23842
233	7272	23805
234	7300	23765
235	7329	23726
236	7357	23686
237	7386	23648
238	7416	23615
239	7446	23579
240	7475	23544
241	7505	23509
242	7536	23477
243	7572	23461
244	7603	23430
245	7632	23395
246	7663	23362
247	7692	23326
248	7722	23293
249	7753	23261
250	7784	23229
251	7814	23196
252	7843	23159
253	7874	23127
254	7904	23093
255	7935	23062
256	7965	23028
257	7993	22990
258	8023	22956
259	8054	22923
260	8084	22891
261	8115	22860
262	8146	22827
263	8175	22791
264	8204	22757
265	8235	22723
266	8264	22688
267	8294	22654
268	8323	22620
269	8355	22591
270	8384	22555
271	8415	22524
272	8444	22487
273	8473	22451
274	8504	22422
275	8534	22388
276	8565	22356
277	8597	22327
278	8627	22296
279	8656	22259
280	8686	22226
281	8716	22191
282	8744	22155
283	8772	22116
284	8803	22086
285	8833	22052
286	8862	22018
287	8891	21981
288	8921	21947
289	8950	21913
290	8979	21878
291	9010	21847
292	9041	21816
293	9071	21783
294	9101	21751
295	9134	21725
296	9163	21690
297	9194	21660
298	9226	21630
299	9256	21598
300	9286	21565
301	9317	21535
302	9348	21503
303	9378	21471
304	9407	21435
305	9436	21402
306	9466	21368
307	9496	21336
308	9526	21303
309	9556	21270
310	9585	21236
311	9619	21211
312	9649	21179
313	9678	21145
314	9707	21110
315	9737	21076
316	9768	21047
317	9799	21016
318	9828	20981
319	9858	20948
320	9888	20916
321	9918	20883
322	9948	20851
323	9976	20816
324	10006	20782
325	10035	20749
326	10065	20714
327	10093	20679
328	10123	20647
329	10153	20615
330	10182	20580
331	10212	20548
332	10243	20518
333	10272	20483
334	10302	20451
335	10330	20415
336	10361	20384
337	10391	20352
338	10419	20317
339	10448	20282
340	10477	20248
341	10507	20216
342	10538	20185
343	10567	20152
344	10597	20119
345	10626	20085
346	10657	20056
347	10688	20024
348	10718	19993
349	10748	19961
350	10778	19928
351	10807	19896
352	10837	19863
353	10866	19830
354	10896	19797
355	10926	19765
356	10955	19731
357	10983	19697
358	11013	19665
359	11044	19635
360	11074	19603
361	11103	19569
362	11134	19539
363	11164	19507
364	11195	19477
365	11224	19443
366	11253	19409
367	11282	19377
368	11311	19343
369	11340	19309
370	11369	19275
371	11396	19239
372	11424	19204
373	11452	19168
374	11480	19134
375	11510	19102
376	11540	19070
377	11569	19037
378	11599	19006
379	11629	18975
380	11660	18943
381	11690	18912
382	11720	18881
383	11749	18847
384	11779	18817
385	11809	18785
386	11839	18753
387	11868	18721
388	11897	18687
389	11927	18655
390	11954	18620
391	11983	18587
392	12012	18554
393	12042	18522
394	12071	18489
395	12100	18456
396	12129	18423
397	12161	18394
398	12190	18362
399	12222	18333
400	12254	18305
401	12283	18271
402	12311	18238
403	12339	18204
404	12368	18171
405	12399	18140
406	12429	18109
407	12458	18076
408	12487	18044
409	12518	18013
410	12548	17983
411	12583	17959
412	12613	17927
413	12642	17894
414	12671	17861
415	12699	17828
416	12728	17795
417	12758	17764
418	12788	17733
419	12817	17700
420	12845	17666
421	12875	17635
422	12905	17604
423	12936	17574
424	12966	17542
425	12996	17511
426	13025	17478
427	13054	17446
428	13084	17416
429	13115	17385
430	13145	17354
431	13174	17322
432	13204	17290
433	13235	17260
434	13264	17228
435	13294	17197
436	13323	17165
437	13353	17133
438	13383	17102
439	13414	17072
440	13444	17041
441	13474	17010
442	13504	16979
443	13535	16950
444	13565	16918
445	13595	16887
446	13624	16855
447	13654	16824
448	13684	16793
449	13719	16768
450	13749	16736
451	13778	16704
452	13807	16672
453	13837	16642
454	13867	16610
455	13896	16577
456	13926	16547
457	13955	16514
458	13984	16483
459	14014	16451
460	14041	16417
461	14069	16383
462	14099	16353
463	14128	16320
464	14157	16288
465	14185	16255
466	14215	16224
467	14245	16193
468	14279	16167
469	14313	16140
470	14342	16109
471	14372	16078
472	14402	16046
473	14431	16015
474	14461	15983
475	14490	15951
476	14519	15919
477	14547	15886
478	14577	15855
479	14606	15823
480	14637	15793
481	14666	15761
482	14697	15732
483	14727	15701
484	14759	15671
485	14789	15641
486	14821	15612
487	14855	15586
488	14885	15554
489	14914	15523
490	14944	15492
491	14975	15462
492	15006	15432
493	15038	15403
494	15068	15372
495	15098	15341
496	15128	15311
497	15157	15279
498	15187	15248
499	15219	15219
500	15254	15193
501	15283	15161
502	15313	15131
503	15343	15099
504	15372	15068
505	15401	15035
506	15430	15004
507	15459	14972
508	15487	14939
509	15515	14907
510	15543	14874
511	15571	14841
512	15599	14809
513	15630	14778
514	15660	14748
515	15690	14717
516	15733	14699
517	15763	14668
518	15796	14640
519	15825	14607
520	15854	14576
521	15883	14544
522	15911	14512
523	15941	14481
524	15970	14449
525	15998	14417
526	16029	14386
527	16057	14354
528	16086	14322
529	16116	14291
530	16144	14259
531	16173	14227
532	16201	14195
533	16229	14162
534	16259	14132
535	16289	14100
536	16316	14068
537	16346	14037
538	16377	14007
539	16408	13977
540	16438	13946
541	16467	13915
542	16496	13883
543	16526	13852
544	16555	13821
545	16587	13792
546	16617	13762
547	16646	13730
548	16677	13700
549	16706	13669
550	16734	13636
551	16763	13604
552	16795	13576
553	16824	13544
554	16853	13513
555	16881	13480
556	16909	13448
557	16938	13417
558	16966	13384
559	16994	13352
560	17022	13321
561	17050	13288
562	17079	13257
563	17108	13225
564	17138	13195
565	17168	13164
566	17198	13133
567	17227	13102
568	17262	13075
569	17292	13045
570	17322	13014
571	17353	12985
572	17387	12957
573	17419	12928
574	17451	12899
575	17489	12874
576	17525	12847
577	17562	12822
578	17598	12796
579	17630	12766
580	17662	12737
581	17692	12707
582	17720	12675
583	17750	12644
584	17780	12613
585	17811	12583
586	17842	12553
587	17872	12522
588	17902	12492
589	17931	12461
590	17962	12430
591	17991	12399
592	18021	12369
593	18053	12339
594	18082	12308
595	18110	12276
596	18140	12245
597	18168	12213
598	18196	12181
599	18223	12149
600	18252	12117
601	18280	12086
602	18311	12055
603	18341	12024
604	18372	11995
605	18402	11964
606	18432	11934
607	18461	11902
608	18491	11872
609	18522	11842
610	18552	11811
611	18582	11781
612	18613	11751
613	18644	11721
614	18676	11691
615	18707	11661
616	18738	11631
617	18770	11602
618	18804	11574
619	18837	11545
620	18871	11517
621	18901	11487
622	18933	11457
623	18964	11427
624	18996	11397
625	19027	11367
626	19057	11337
627	19088	11306
628	19118	11276
629	19146	11244
630	19176	11214
631	19225	11194
632	19256	11164
633	19288	11135
634	19325	11108
635	19359	11080
636	19390	11049
637	19420	11019
638	19449	10988
639	19478	10956
640	19508	10926
641	19538	10895
642	19568	10864
643	19597	10833
644	19628	10803
645	19659	10772
646	19690	10742
647	19720	10712
648	19750	10681
649	19785	10653
650	19820	10625
651	19859	10599
652	19891	10569
653	19938	10548
654	19973	10520
655	20003	10489
656	20036	10460
657	20067	10430
658	20096	10398
659	20126	10368
660	20155	10337
661	20184	10305
662	20216	10275
663	20246	10245
664	20276	10214
665	20304	10182
666	20334	10152
667	20367	10122
668	20399	10093
669	20429	10062
670	20459	10031
671	20490	10001
672	20520	9970
673	20551	9940
674	20583	9910
675	20615	9880
676	20646	9850
677	20679	9821
678	20709	9790
679	20738	9759
680	20767	9728
681	20798	9697
682	20838	9671
683	20885	9648
684	20928	9623
685	20973	9599
686	21004	9569
687	21040	9541
688	21075	9512
689	21109	9484
690	21142	9454
691	21171	9423
692	21202	9392
693	21232	9361
694	21260	9330
695	21296	9301
696	21324	9270
697	21353	9239
698	21385	9208
699	21414	9177
700	21444	9146
701	21474	9116
702	21505	9085
703	21534	9054
704	21566	9024
705	21596	8993
706	21624	8961
707	21654	8930
708	21684	8900
709	21715	8869
710	21745	8838
711	21774	8807
712	21804	8777
713	21835	8746
714	21865	8715
715	21894	8684
716	21927	8654
717	21956	8623
718	21988	8593
719	22017	8562
720	22046	8531
721	22075	8499
722	22103	8468
723	22147	8443
724	22177	8412
725	22206	8381
726	22238	8350
727	22267	8319
728	22296	8288
729	22328	8258
730	22359	8227
731	22391	8198
732	22423	8167
733	22451	8136
734	22481	8105
735	22511	8074
736	22544	8045
737	22575	8014
738	22605	7983
739	22634	7952
740	22665	7922
741	22695	7891
742	22725	7860
743	22760	7831
744	22791	7801
745	22822	7770
746	22851	7739
747	22882	7708
748	22912	7678
749	22943	7647
750	22974	7617
751	23002	7586
752	23033	7555
753	23062	7524
754	23092	7493
755	23122	7462
756	23154	7432
757	23184	7401
758	23213	7370
759	23244	7340
760	23273	7309
761	23305	7279
762	23335	7248
763	23366	7217
764	23395	7186
765	23427	7156
766	23457	7126
767	23488	7095
768	23519	7065
769	23563	7038
770	23598	7009
771	23637	6981
772	23667	6950
773	23699	6920
774	23729	6889
775	23759	6858
776	23790	6827
777	23822	6797
778	23855	6767
779	23885	6737
780	23916	6706
781	23948	6676
782	23977	6645
783	24006	6614
784	24036	6583
785	24067	6552
786	24097	6521
787	24127	6491
788	24156	6460
789	24187	6429
790	24218	6399
791	24248	6368
792	24278	6337
793	24309	6307
794	24342	6277
795	24375	6247
796	24408	6216
797	24439	6186
798	24471	6156
799	24501	6125
800	24533	6095
801	24564	6064
802	24596	6034
803	24627	6003
804	24657	5973
805	24688	5942
806	24719	5911
807	24750	5881
808	24780	5850
809	24813	5820
810	24844	5789
811	24874	5759
812	24906	5728
813	24937	5698
814	24968	5667
815	24998	5636
816	25029	5606
817	25060	5575
818	25091	5545
819	25131	5516
820	25163	5486
821	25195	5455
822	25226	5425
823	25257	5394
824	25290	5364
825	25323	5334
826	25353	5303
827	25385	5273
828	25418	5243
829	25454	5213
830	25486	5183
831	25517	5152
832	25555	5123
833	25588	5093
834	25619	5062
835	25651	5032
836	25685	5002
837	25717	4971
838	25749	4941
839	25781	4910
840	25810	4879
841	25841	4849
842	25870	4818
843	25903	4787
844	25938	4757
845	25973	4727
846	26010	4698
847	26044	4668
848	26079	4638
849	26115	4608
850	26149	4578
851	26184	4548
852	26218	4518
853	26253	4488
854	26289	4458
855	26320	4427
856	26352	4397
857	26386	4367
858	26417	4336
859	26451	4306
860	26490	4276
861	26523	4246
862	26554	4215
863	26589	4185
864	26621	4154
865	26651	4123
866	26691	4094
867	26727	4064
868	26766	4035
869	26804	4005
870	26841	3975
871	26880	3945
872	26932	3917
873	26976	3889
874	27013	3859
875	27049	3828
876	27083	3798
877	27115	3767
878	27147	3737
879	27179	3706
880	27211	3675
881	27244	3644
882	27286	3615
883	27316	3584
884	27346	3553
885	27376	3522
886	27406	3491
887	27436	3460
888	27467	3429
889	27503	3399
890	27537	3368
891	27569	3337
892	27599	3306
893	27629	3275
894	27658	3244
895	27689	3213
896	27718	3182
897	27748	3151
898	27777	3120
899	27807	3089
900	27839	3058
901	27872	3028
902	27905	2997
903	27937	2966
904	27970	2936
905	28003	2905
906	28034	2874
907	28064	2843
908	28093	2812
909	28123	2781
910	28153	2750
911	28184	2719
912	28217	2688
913	28248	2657
914	28280	2627
915	28311	2596
916	28343	2565
917	28382	2535
918	28413	2504
919	28445	2473
920	28477	2442
921	28509	2411
922	28541	2381
923	28573	2350
924	28606	2319
925	28638	2288
926	28670	2257
927	28702	2226
928	28733	2196
929	28766	2165
930	28798	2134
931	28830	2103
